,Type de média,Existence de données d'entraînement variées et structurées ?,Besoin de personnalisation/créativité ?,Tolérance à une difficulté de mise en place?,Fiabilité des résultats?,Avez-vous réalisé une analyse des données ?,Quantité de données à traiter ?,Les données sont-elles bruitées ?,Type de contenu ?,Taille / longueur attendu du contenu ?
,"Texte, Image, Audio, Vidéo","Oui, Non","faible, élévée","Oui, Non","faible, élévée","Oui, Non","faible, élévé","Oui, Non","Simple, Complexe, Réaliste","Simple, Moyen, Elevé"
Régression Logistique (Simple),"0, -inf, -inf, -inf","10, 0","0, -inf","0, 20","0, 0","0, 0","0, 10","-inf, 0","0, 0, 0","10, 10, 0"
RNN (Intermédiaire),"0, -inf, -inf, -inf","0, 10","0, -inf","0, 10","0, 10","0, 0","0, 0","-inf, 0","0, 10, 10","10, 10, 0"
LSTM (Complexe),"0, -inf, -inf, -inf","0, 0","0, -inf","10, -inf","0, 10","0, 0","0, 10","10, 0","0, 10, 10","0, 0, 10"
GPT (Complexe),"0, -inf, 0, -inf","0, 0","0, 10","10, -inf","0, 10","0, 0","0, 10","10, 0","0, 10, 0","10, 10, 0"
GAN (Complexe),"-inf, 0, 0, -inf","0, 0","10, -inf","20, -inf","0, 10","0, 0","0, 10","0, 0","10, 10, 0","0, 10, 0"
VAE (Complexe),"-inf, 0, 0, -inf","0, 10","0, 10","10, -inf","0, 0","0, 0","0, 0","0, 0","10, 10, 0","0, 0, 0"
Stable Diffusion (Complexe),"-inf, 0, -inf, -inf","0, 0","0, 10","10, -inf","0, 10","0, 0","0, 20","10, 0","0, 10, 0","0, 10, 0"
DALL-E (Complexe),"-inf, 0, -inf, -inf","0, 0","0, 0","20, -inf","0, 20","0, 0","0, 20","10, 0","0, 0, 20","0, 0, 20"
Midjourney (Complexe),"-inf, 0, -inf, -inf","0, 0","0, 0","0, 20","0, 20","0, 0","0, 20","10, 0","0, 0, 20","0, 0, 20"
LSTM Audio (Complexe),"-inf, -inf, 0, -inf","0, 10","10, 0","20, 0","0, 20","0, 0","0, 10","10, 0","0, 0, 0","0, 0, 0"
WaveNet (Complexe),"-inf, -inf, 0, -inf","0, 10","10, 0","20, 0","0, 20","0, 0","0, 20","20, 0","10, 0, 0","10, 0, 0"
IA vocale générative (Complexe),"-inf, -inf, 0, -inf","0, 0","0, 20","10, 0","0, 10","0, 0","0, 10","0, 0","20, -inf, -inf","0, 0, 0"
IA de restauration vocale (Complexe),"-inf, -inf, 0, -inf","10, 0","10, 0","10, 0","0, 10","0, 0","0, 10","20, 0","20, -inf, -inf","0, 0, 0"
k-NN Vidéo (Complexe),"-inf, -inf, -inf, 0","0, 0","10, 0","0, 10","10, 0","0, 0","0, -inf","-inf, 0","10, 0, 0","10, 10, 0"
GAN Vidéo (Complexe),"-inf, -inf, -inf, 0","0, 0","10, 0","20, 0","0, 10","0, 0","0, 10","10, 0","0, 10, 10","10, 10, 0"
NeRF (Complexe),"-inf, -inf, -inf, 0","0, 0","0, 20","20, 0","0, 10","0, 0","0, -inf","-inf, 0","10, 0, 0","10, 10, 0"
Style Transfer (Complexe),"-inf, -inf, -inf, 0","0, 0","0, 10","10, 0","0, 10","0, 0","0, 20","10, 0","10, 0, 0","10, 10, 0"
